state,state_code,state_name,county_code,county
AL,01,Alabama,001,Autauga County
AL,01,Alabama,003,Baldwin County
AL,01,Alabama,005,Barbour County
AL,01,Alabama,007,Bibb County
AL,01,Alabama,009,Blount County
AL,01,Alabama,011,Bullock County
AL,01,Alabama,013,Butler County
AL,01,Alabama,015,Calhoun County
AL,01,Alabama,017,Chambers County
AL,01,Alabama,019,Cherokee County
AL,01,Alabama,021,Chilton County
AL,01,Alabama,023,Choctaw County
AL,01,Alabama,025,Clarke County
AL,01,Alabama,027,Clay County
AL,01,Alabama,029,Cleburne County
AL,01,Alabama,031,Coffee County
AL,01,Alabama,033,Colbert County
AL,01,Alabama,035,Conecuh County
AL,01,Alabama,037,Coosa County
AL,01,Alabama,039,Covington County
AL,01,Alabama,041,Crenshaw County
AL,01,Alabama,043,Cullman County
AL,01,Alabama,045,Dale County
AL,01,Alabama,047,Dallas County
AL,01,Alabama,049,DeKalb County
AL,01,Alabama,051,Elmore County
AL,01,Alabama,053,Escambia County
AL,01,Alabama,055,Etowah County
AL,01,Alabama,057,Fayette County
AL,01,Alabama,059,Franklin County
AL,01,Alabama,061,Geneva County
AL,01,Alabama,063,Greene County
AL,01,Alabama,065,Hale County
AL,01,Alabama,067,Henry County
AL,01,Alabama,069,Houston County
AL,01,Alabama,071,Jackson County
AL,01,Alabama,073,Jefferson County
AL,01,Alabama,075,Lamar County
AL,01,Alabama,077,Lauderdale County
AL,01,Alabama,079,Lawrence County
AL,01,Alabama,081,Lee County
AL,01,Alabama,083,Limestone County
AL,01,Alabama,085,Lowndes County
AL,01,Alabama,087,Macon County
AL,01,Alabama,089,Madison County
AL,01,Alabama,091,Marengo County
AL,01,Alabama,093,Marion County
AL,01,Alabama,095,Marshall County
AL,01,Alabama,097,Mobile County
AL,01,Alabama,099,Monroe County
AL,01,Alabama,101,Montgomery County
AL,01,Alabama,103,Morgan County
AL,01,Alabama,105,Perry County
AL,01,Alabama,107,Pickens County
AL,01,Alabama,109,Pike County
AL,01,Alabama,111,Randolph County
AL,01,Alabama,113,Russell County
AL,01,Alabama,115,St. Clair County
AL,01,Alabama,117,Shelby County
AL,01,Alabama,119,Sumter County
AL,01,Alabama,121,Talladega County
AL,01,Alabama,123,Tallapoosa County
AL,01,Alabama,125,Tuscaloosa County
AL,01,Alabama,127,Walker County
AL,01,Alabama,129,Washington County
AL,01,Alabama,131,Wilcox County
AL,01,Alabama,133,Winston County
AK,02,Alaska,013,Aleutians East Borough
AK,02,Alaska,016,Aleutians West Census Area
AK,02,Alaska,020,Anchorage Municipality
AK,02,Alaska,050,Bethel Census Area
AK,02,Alaska,060,Bristol Bay Borough
AK,02,Alaska,063,Chugach Census Area
AK,02,Alaska,066,Copper River Census Area
AK,02,Alaska,068,Denali Borough
AK,02,Alaska,070,Dillingham Census Area
AK,02,Alaska,090,Fairbanks North Star Borough
AK,02,Alaska,100,Haines Borough
AK,02,Alaska,105,Hoonah-Angoon Census Area
AK,02,Alaska,110,Juneau City and Borough
AK,02,Alaska,122,Kenai Peninsula Borough
AK,02,Alaska,130,Ketchikan Gateway Borough
AK,02,Alaska,150,Kodiak Island Borough
AK,02,Alaska,158,Kusilvak Census Area
AK,02,Alaska,164,Lake and Peninsula Borough
AK,02,Alaska,170,Matanuska-Susitna Borough
AK,02,Alaska,180,Nome Census Area
AK,02,Alaska,185,North Slope Borough
AK,02,Alaska,188,Northwest Arctic Borough
AK,02,Alaska,195,Petersburg Census Area
AK,02,Alaska,198,Prince of Wales-Hyder Census Area
AK,02,Alaska,201,Prince of Wales-Outer Ketchikan Census Area
AK,02,Alaska,220,Sitka City and Borough
AK,02,Alaska,230,Skagway Municipality
AK,02,Alaska,231,Skagway-Yakutat-Angoon Census Area
AK,02,Alaska,232,Skagway-Hoonah-Angoon Census Area
AK,02,Alaska,240,Southeast Fairbanks Census Area
AK,02,Alaska,261,Valdez-Cordova Census Area
AK,02,Alaska,270,Wade Hampton Census Area
AK,02,Alaska,275,Wrangell City and Borough
AK,02,Alaska,280,Wrangell-Petersburg Census Area
AK,02,Alaska,282,Yakutat City and Borough
AK,02,Alaska,290,Yukon-Koyukuk Census Area
AZ,04,Arizona,001,Apache County
AZ,04,Arizona,003,Cochise County
AZ,04,Arizona,005,Coconino County
AZ,04,Arizona,007,Gila County
AZ,04,Arizona,009,Graham County
AZ,04,Arizona,011,Greenlee County
AZ,04,Arizona,012,La Paz County
AZ,04,Arizona,013,Maricopa County
AZ,04,Arizona,015,Mohave County
AZ,04,Arizona,017,Navajo County
AZ,04,Arizona,019,Pima County
AZ,04,Arizona,021,Pinal County
AZ,04,Arizona,023,Santa Cruz County
AZ,04,Arizona,025,Yavapai County
AZ,04,Arizona,027,Yuma County
AR,05,Arkansas,001,Arkansas County
AR,05,Arkansas,003,Ashley County
AR,05,Arkansas,005,Baxter County
AR,05,Arkansas,007,Benton County
AR,05,Arkansas,009,Boone County
AR,05,Arkansas,011,Bradley County
AR,05,Arkansas,013,Calhoun County
AR,05,Arkansas,015,Carroll County
AR,05,Arkansas,017,Chicot County
AR,05,Arkansas,019,Clark County
AR,05,Arkansas,021,Clay County
AR,05,Arkansas,023,Cleburne County
AR,05,Arkansas,025,Cleveland County
AR,05,Arkansas,027,Columbia County
AR,05,Arkansas,029,Conway County
AR,05,Arkansas,031,Craighead County
AR,05,Arkansas,033,Crawford County
AR,05,Arkansas,035,Crittenden County
AR,05,Arkansas,037,Cross County
AR,05,Arkansas,039,Dallas County
AR,05,Arkansas,041,Desha County
AR,05,Arkansas,043,Drew County
AR,05,Arkansas,045,Faulkner County
AR,05,Arkansas,047,Franklin County
AR,05,Arkansas,049,Fulton County
AR,05,Arkansas,051,Garland County
AR,05,Arkansas,053,Grant County
AR,05,Arkansas,055,Greene County
AR,05,Arkansas,057,Hempstead County
AR,05,Arkansas,059,Hot Spring County
AR,05,Arkansas,061,Howard County
AR,05,Arkansas,063,Independence County
AR,05,Arkansas,065,Izard County
AR,05,Arkansas,067,Jackson County
AR,05,Arkansas,069,Jefferson County
AR,05,Arkansas,071,Johnson County
AR,05,Arkansas,073,Lafayette County
AR,05,Arkansas,075,Lawrence County
AR,05,Arkansas,077,Lee County
AR,05,Arkansas,079,Lincoln County
AR,05,Arkansas,081,Little River County
AR,05,Arkansas,083,Logan County
AR,05,Arkansas,085,Lonoke County
AR,05,Arkansas,087,Madison County
AR,05,Arkansas,089,Marion County
AR,05,Arkansas,091,Miller County
AR,05,Arkansas,093,Mississippi County
AR,05,Arkansas,095,Monroe County
AR,05,Arkansas,097,Montgomery County
AR,05,Arkansas,099,Nevada County
AR,05,Arkansas,101,Newton County
AR,05,Arkansas,103,Ouachita County
AR,05,Arkansas,105,Perry County
AR,05,Arkansas,107,Phillips County
AR,05,Arkansas,109,Pike County
AR,05,Arkansas,111,Poinsett County
AR,05,Arkansas,113,Polk County
AR,05,Arkansas,115,Pope County
AR,05,Arkansas,117,Prairie County
AR,05,Arkansas,119,Pulaski County
AR,05,Arkansas,121,Randolph County
AR,05,Arkansas,123,St. Francis County
AR,05,Arkansas,125,Saline County
AR,05,Arkansas,127,Scott County
AR,05,Arkansas,129,Searcy County
AR,05,Arkansas,131,Sebastian County
AR,05,Arkansas,133,Sevier County
AR,05,Arkansas,135,Sharp County
AR,05,Arkansas,137,Stone County
AR,05,Arkansas,139,Union County
AR,05,Arkansas,141,Van Buren County
AR,05,Arkansas,143,Washington County
AR,05,Arkansas,145,White County
AR,05,Arkansas,147,Woodruff County
AR,05,Arkansas,149,Yell County
CA,06,California,001,Alameda County
CA,06,California,003,Alpine County
CA,06,California,005,Amador County
CA,06,California,007,Butte County
CA,06,California,009,Calaveras County
CA,06,California,011,Colusa County
CA,06,California,013,Contra Costa County
CA,06,California,015,Del Norte County
CA,06,California,017,El Dorado County
CA,06,California,019,Fresno County
CA,06,California,021,Glenn County
CA,06,California,023,Humboldt County
CA,06,California,025,Imperial County
CA,06,California,027,Inyo County
CA,06,California,029,Kern County
CA,06,California,031,Kings County
CA,06,California,033,Lake County
CA,06,California,035,Lassen County
CA,06,California,037,Los Angeles County
CA,06,California,039,Madera County
CA,06,California,041,Marin County
CA,06,California,043,Mariposa County
CA,06,California,045,Mendocino County
CA,06,California,047,Merced County
CA,06,California,049,Modoc County
CA,06,California,051,Mono County
CA,06,California,053,Monterey County
CA,06,California,055,Napa County
CA,06,California,057,Nevada County
CA,06,California,059,Orange County
CA,06,California,061,Placer County
CA,06,California,063,Plumas County
CA,06,California,065,Riverside County
CA,06,California,067,Sacramento County
CA,06,California,069,San Benito County
CA,06,California,071,San Bernardino County
CA,06,California,073,San Diego County
CA,06,California,075,San Francisco County
CA,06,California,077,San Joaquin County
CA,06,California,079,San Luis Obispo County
CA,06,California,081,San Mateo County
CA,06,California,083,Santa Barbara County
CA,06,California,085,Santa Clara County
CA,06,California,087,Santa Cruz County
CA,06,California,089,Shasta County
CA,06,California,091,Sierra County
CA,06,California,093,Siskiyou County
CA,06,California,095,Solano County
CA,06,California,097,Sonoma County
CA,06,California,099,Stanislaus County
CA,06,California,101,Sutter County
CA,06,California,103,Tehama County
CA,06,California,105,Trinity County
CA,06,California,107,Tulare County
CA,06,California,109,Tuolumne County
CA,06,California,111,Ventura County
CA,06,California,113,Yolo County
CA,06,California,115,Yuba County
CO,08,Colorado,001,Adams County
CO,08,Colorado,003,Alamosa County
CO,08,Colorado,005,Arapahoe County
CO,08,Colorado,007,Archuleta County
CO,08,Colorado,009,Baca County
CO,08,Colorado,011,Bent County
CO,08,Colorado,013,Boulder County
CO,08,Colorado,014,Broomfield County
CO,08,Colorado,015,Chaffee County
CO,08,Colorado,017,Cheyenne County
CO,08,Colorado,019,Clear Creek County
CO,08,Colorado,021,Conejos County
CO,08,Colorado,023,Costilla County
CO,08,Colorado,025,Crowley County
CO,08,Colorado,027,Custer County
CO,08,Colorado,029,Delta County
CO,08,Colorado,031,Denver County
CO,08,Colorado,033,Dolores County
CO,08,Colorado,035,Douglas County
CO,08,Colorado,037,Eagle County
CO,08,Colorado,039,Elbert County
CO,08,Colorado,041,El Paso County
CO,08,Colorado,043,Fremont County
CO,08,Colorado,045,Garfield County
CO,08,Colorado,047,Gilpin County
CO,08,Colorado,049,Grand County
CO,08,Colorado,051,Gunnison County
CO,08,Colorado,053,Hinsdale County
CO,08,Colorado,055,Huerfano County
CO,08,Colorado,057,Jackson County
CO,08,Colorado,059,Jefferson County
CO,08,Colorado,061,Kiowa County
CO,08,Colorado,063,Kit Carson County
CO,08,Colorado,065,Lake County
CO,08,Colorado,067,La Plata County
CO,08,Colorado,069,Larimer County
CO,08,Colorado,071,Las Animas County
CO,08,Colorado,073,Lincoln County
CO,08,Colorado,075,Logan County
CO,08,Colorado,077,Mesa County
CO,08,Colorado,079,Mineral County
CO,08,Colorado,081,Moffat County
CO,08,Colorado,083,Montezuma County
CO,08,Colorado,085,Montrose County
CO,08,Colorado,087,Morgan County
CO,08,Colorado,089,Otero County
CO,08,Colorado,091,Ouray County
CO,08,Colorado,093,Park County
CO,08,Colorado,095,Phillips County
CO,08,Colorado,097,Pitkin County
CO,08,Colorado,099,Prowers County
CO,08,Colorado,101,Pueblo County
CO,08,Colorado,103,Rio Blanco County
CO,08,Colorado,105,Rio Grande County
CO,08,Colorado,107,Routt County
CO,08,Colorado,109,Saguache County
CO,08,Colorado,111,San Juan County
CO,08,Colorado,113,San Miguel County
CO,08,Colorado,115,Sedgwick County
CO,08,Colorado,117,Summit County
CO,08,Colorado,119,Teller County
CO,08,Colorado,121,Washington County
CO,08,Colorado,123,Weld County
CO,08,Colorado,125,Yuma County
CT,09,Connecticut,001,Fairfield County
CT,09,Connecticut,003,Hartford County
CT,09,Connecticut,005,Litchfield County
CT,09,Connecticut,007,Middlesex County
CT,09,Connecticut,009,New Haven County
CT,09,Connecticut,011,New London County
CT,09,Connecticut,013,Tolland County
CT,09,Connecticut,015,Windham County
DE,10,Delaware,001,Kent County
DE,10,Delaware,003,New Castle County
DE,10,Delaware,005,Sussex County
DC,11,District of Columbia,001,District of Columbia
FL,12,Florida,001,Alachua County
FL,12,Florida,003,Baker County
FL,12,Florida,005,Bay County
FL,12,Florida,007,Bradford County
FL,12,Florida,009,Brevard County
FL,12,Florida,011,Broward County
FL,12,Florida,013,Calhoun County
FL,12,Florida,015,Charlotte County
FL,12,Florida,017,Citrus County
FL,12,Florida,019,Clay County
FL,12,Florida,021,Collier County
FL,12,Florida,023,Columbia County
FL,12,Florida,025,Dade County
FL,12,Florida,027,DeSoto County
FL,12,Florida,029,Dixie County
FL,12,Florida,031,Duval County
FL,12,Florida,033,Escambia County
FL,12,Florida,035,Flagler County
FL,12,Florida,037,Franklin County
FL,12,Florida,039,Gadsden County
FL,12,Florida,041,Gilchrist County
FL,12,Florida,043,Glades County
FL,12,Florida,045,Gulf County
FL,12,Florida,047,Hamilton County
FL,12,Florida,049,Hardee County
FL,12,Florida,051,Hendry County
FL,12,Florida,053,Hernando County
FL,12,Florida,055,Highlands County
FL,12,Florida,057,Hillsborough County
FL,12,Florida,059,Holmes County
FL,12,Florida,061,Indian River County
